Job,Companyname,link
Client Data Analyst,JPMorgan Chase & Co,https://in.indeed.com/rc/clk?jk=b30817015fb71c5b&bb=kThHm-yVcHtGAXfF7c4cNs0NceNT0QdYfg6k2OH_1U3vRQL4yVWtfDHwzg_FbmY0ywMUwG6cxtm7uAuDl3mvIyeaghcYDfhk7CaGf5Hmit-QiQrRu66lyg%3D%3D&xkcb=SoCO67M3-k67432WWp0LbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3
R&D - Data Analyst,PepsiCo,https://in.indeed.com/rc/clk?jk=2f22fa78a07ee549&bb=kThHm-yVcHtGAXfF7c4cNjsfbHIuuUqf_drqQDmSp1MvaFpKJx1PYw--v5JrFXBXVgCGf81qubqIVJ7h-GKOpvsZil3lw8Oqx8LSuHqqd-uVG3ICWjU8Qw%3D%3D&xkcb=SoDp67M3-k67432WWp0DbzkdCdPP&fccid=2973259ddc967948&vjs=3
Data Analyst -GESTC-Senior Consultant-Hyderabad,Deloitte,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vKheLh3lmMpGtcvu8uYDmOWAsM3WMqQdEnGVsGyU3Jxw7HjCQhLxu0I4L1JOtCxVFEcHj46hM_MOUcmhOEvT-1sRyKn1nJlF7ImUgYTalByhCie7qG-0muvJ6BRSYaw20sVFODS0yJPFBx8tH7nF9NQ6e5Yk66-9qFyUDXZjuuQvc4inLKe1GsAtYo400TYcLzHGfQtlYR2gNWlKWCYPGzVvB7mPgi_vR3Vikro2Gdwm5H7Pm4cFCKcgL-M-oBPM-1Gn6kbrF4RiIBx1-xFDAUqL2_y8FJ9QNzzcEE8ZdCzg8PsGlqhV6IH0g8yi8py_NsYkDoKALUg4TxXUNl-dX4mW_ADQ8ZlHwCV0PomMXD-Eom2-nCDfVBAqhh8ViLLYojza0fumVoPhIeLltyxLh7uPdrBWwX2Vkw4JFj9nb2bqo8hlZ3EPODfa3r_GXRinrWOd6IAg4wAdT4TvdjYE_5Z1VxtkUZhC1JV0BhOW0JB4bh7mIluy3N3_Ak2rOG69HTH06jC-AKr3nsO-XsUskM-DKnqBxogIDdvk0ZcQTM3dmB7Y9mO8ksaULGSfoLBav-XhRAzqLKV5ZGGmtD4zIPKbfZGroH41y4enHnavy1fLjHs9G-Se1lXnaNQcJ_KVQ6dt0QeRmrV_wIVXYUWIQCIJCFRtGkhAWdqvtsf_dZEa_FJby6HL6-HJxHQPxCVbHC3koUubtHRcOdIQwp3F6Pi&xkcb=SoCp6_M3-k67432WWp0CbzkdCdPP&camk=CPChkbYSGj8H25xp656n5g==&p=2&fvj=0&vjs=3
Data Analyst,PayPal,https://in.indeed.com/rc/clk?jk=f451d2598fa6da4d&bb=kThHm-yVcHtGAXfF7c4cNsElj0oouU6jgV1kB7ZQHiDzzD1hMWPzQPfUmkUu5WoiqiEQmWBRfj_XCj3uVHp3qh4O3yN5I0Ky2JvdcbBiw6p9HMHYASudgA%3D%3D&xkcb=SoBO67M3-k67432WWp0GbzkdCdPP&fccid=978d9fd9799d55a8&vjs=3
Reference Data Analyst,JPMorgan Chase & Co,https://in.indeed.com/rc/clk?jk=7a617d19039dde87&bb=kThHm-yVcHtGAXfF7c4cNuwAS0QZyxsbq4qZG_IALQsLLSiDje9UKFV9Ev0_m_PucgsmOphUNdXjPv92SgdZyYmWR9UKftWSt4PwIU68hsrdQ6nd-I9zzw%3D%3D&xkcb=SoBn67M3-k67432WWp0EbzkdCdPP&fccid=c46d0116f6e69eae&vjs=3
Data Analyst,Dikazo Solutions Private Limited,https://in.indeed.com/rc/clk?jk=da37cae29dd22981&bb=kThHm-yVcHtGAXfF7c4cNoxkATiC63_MB5SX2isEbhGNtgASMX7k62Rok3MhwI9p8RTKaaLhMChucfpCQACehG00GnESNx9PPXu22Of-8ZEPNMZmMZUfpRJmZQavxEyX&xkcb=SoBp67M3-k67432WWp0ZbzkdCdPP&fccid=6009ebdedfe98be9&cmp=Dikazo-Solutions-Private-Limited&ti=Data+Analyst&vjs=3
Data Analyst,Tanla Platforms,https://in.indeed.com/rc/clk?jk=f0a874319261d5be&bb=kThHm-yVcHtGAXfF7c4cNiMC18ijP5NoRS292WYkcc-UTQjr5k7rfTPm2bgHOItB7f_WZB8O0Tpuph7Xat-jjYD42mS9nkPBgUU32G5Aou9Oqhf8ecg5T7czC-3tY1sF&xkcb=SoDd67M3-k67432WWp0YbzkdCdPP&fccid=63e407d2abee24a0&vjs=3
Data Visualization Engineer-1,Salesforce,https://in.indeed.com/rc/clk?jk=a194f05d39e40d98&bb=kThHm-yVcHtGAXfF7c4cNiTHtEaNfsk2enrbAeTF17sSJFiOEROlYFXgMQE6_ae-KjvT9kAvIxGecCoTFFpaa5u2Akl2ujkkTjY1geXqsXeD23s_4VXbDQ%3D%3D&xkcb=SoDO67M3-k67432WWp0cbzkdCdPP&fccid=4027cfd917e1ee29&vjs=3
Data Analyst,Everseen,https://in.indeed.com/rc/clk?jk=85095e9f6bfc9aa8&bb=kThHm-yVcHtGAXfF7c4cNmabJycVBcY_R-Lyv_eSwl8qquCbBfLXZTnevKHzH0_MgTkTKySrN45-1zleUQtnhQbgdCiESeqMqVKzVbzNUxS56sDpEG_RSQ4D5oTdik4e&xkcb=SoCT67M3-k67432WWp0SbzkdCdPP&fccid=4c903c3abbb86fe8&vjs=3
Data Analyst,"Ventra Health, Inc.",https://in.indeed.com/rc/clk?jk=fa2f37c5faf79e85&bb=kThHm-yVcHtGAXfF7c4cNtwQ4U5wWrngrw69AeocTjq_-ypfYpf4sPsunWazEYtzFUKm1U2nQ442f57WdbAh-L4WS6fO51XyPBwmFk7Ed84x6mFTnixqg3DOjNId-nzW&xkcb=SoC667M3-k67432WWp0QbzkdCdPP&fccid=b3a44cd50b8dad71&vjs=3
Data Analyst Trainer,Excelr Solutions,https://in.indeed.com/rc/clk?jk=d6f4b5b513ac0df8&bb=kThHm-yVcHtGAXfF7c4cNp1ydnjuEGvDFYnZui08_w7bfEbgDv6z0tbryVoZfgAietDDaBWxzZCrSIhz33Th0pjJbnF4yBmE1ji29NmGKP3sOUCZYI0cMZ5MxSinjNnB&xkcb=SoCA67M3-k67432WWp0WbzkdCdPP&fccid=861b10948eafd52e&cmp=Excelr-Solutions&ti=Data+Analyst&vjs=3
Data Extraction Analyst,Kanexy pvt. ltd,https://in.indeed.com/rc/clk?jk=fd45927c0941c87b&bb=kThHm-yVcHtGAXfF7c4cNsYuPHZTlJ9oDAIHJfoUF0jvtDCqoc2M2Jo9U1_aVF2OmShXsS_a2qL18i7krR0Kfj1_zigkco-n4X9RiHTLQkN98_QgRToaqU6M2MZgSFhl&xkcb=SoAS67M3-k67432WWp0rbzkdCdPP&fccid=1ddeac18c388f087&cmp=Kanexy-pvt.-ltd&ti=Data+Analyst&vjs=3
Data Analyst,Citco,https://in.indeed.com/rc/clk?jk=ad0e3e5ebcaf845d&bb=kThHm-yVcHtGAXfF7c4cNvzXdaFir1ncNVvMmXMQgroyanJv9ggS0YiNY-EmEubwn5OTClI0PmQfBXItGSzEs9vehq73-Qr7IRDvZrE8gfwYrXD7THh9CvuLMf8XuSdd&xkcb=SoC167M3-k67432WWp0ubzkdCdPP&fccid=58a0b6e7b7d51d7e&vjs=3
Data Monitoring Analyst,Tech Next,https://in.indeed.com/rc/clk?jk=1a0edfe7e69922dc&bb=kThHm-yVcHtGAXfF7c4cNqh5hj28uvZvnO0OWSxQI7XpDo70miUF2ujY5lQstzbKhxBTRDKvjHJE13p-X0aqXO9Mla0cHJTJxIUTfqTlwfcnLSmIXXVED6mkPBsomPnr&xkcb=SoAo67M3-k67432WWp0tbzkdCdPP&fccid=a9d28725facae1d5&cmp=Tech-Next&ti=Data+Analyst&vjs=3
Market Research Analyst,Radise India Pvt. Ltd.,https://in.indeed.com/rc/clk?jk=eb53b80c7bfb851c&bb=kThHm-yVcHtGAXfF7c4cNr8Nt1OtIuweEDyoe3ii4R87VXYFHaXkxHhvzJ-Xw7jIFJMUwe9y8vbeGf9CQErAb5tgjOHfYvPRLH2JD0Qq-AA0kRCLp3tGxeEcXGTdXjn2&xkcb=SoCc67M3-k67432WWp0sbzkdCdPP&fccid=ac4bef705f11910f&cmp=Smart-Infrastructure-Group&ti=Market+Researcher&vjs=3
Analyst - Quality & Risk - USI,Deloitte,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVEMH6N8XB8ugTc3UeC9e-vJSMowVW7qBeLGA-JrZl5MNQwmITiwIfVBoLSZKcqMXWpeJ2avGd7YOzrcg_20jV5PxpHBsawsmCAAQH71UIEVt9oat2eHqWXIVdSh97uy2tZPWfrWThWlR0efwpmjtub2H8HMmDINZePpzMP4i8hAGd5AKnc9nYzQDLE4Erokf9b1uLdVYwBRyC2GCpp7ZrFwjybHyzYYfaoCIH6Nr5Ltz--90AGZLWeOyvB--Irj_2pBrMfMnYUThbEyLv16dw4eTegHHPjbQJPqwoEsrOyceysaGtEtj1BdZ9Jb_zpYs4H6FkMpMleJpObx-x8yKd-7yTI7Urd42Ug38SesjbBdm--_L76K5tZ9iBQ6H8L_oU_aQ_BB5XzTCRct9MZXnxi31HlhoZqprNULJBbmFsDfqo7SW5_5kS2e2NP8JN-9He9D4Z_izDgkiNX4dqtTdoDTT_YMCWhcPxBVGMe8OKuy2Dm6ShZfH7yWKEEe9r3Qd0hOcPxSFdSXxz8bFIuz7uqtuG3niclT8FuNCUywyBJ10rEb1cScMkBjrl1eIorxUblQdd8MrYwVCpz9i7C2QNKWUiFQETgshBnqRj1QZkbfgb-k5i4NqGfB-Rw4SMEdhjmiJ03nyc03_i2m42Hcd_lzcpfsKpuqNCvQXb-wDQc493OvbuA6TosOxZIlVD8-Biihm24j41c80jn-NExx5MH0=&xkcb=SoD-6_M3-k65iQWXdx0LbzkdCdPP&camk=CPChkbYSGj8H25xp656n5g==&p=0&fvj=0&vjs=3
Lead Data Analyst,Tek Ryders.LLC,https://in.indeed.com/rc/clk?jk=08b039e192890a49&bb=gU9DaOCHAxtWX0kbhxrrgSmvjAJ8KiJHPgsRZDhVBRtblxxswn2QMMXILIzQI3IyjbBLL5cJtZFM2kUuCkyyexBeYLjkgJ0cLvbTD5bk-BgjlKuySd6sNJodjZhc7xf8&xkcb=SoC-67M3-k65iQWXdx0KbzkdCdPP&fccid=690658a9021bd87a&cmp=Tekryders.-LLC&ti=Data+Analyst&vjs=3
Research Analyst,camstudio,https://in.indeed.com/rc/clk?jk=3244829f0dffac8a&bb=gU9DaOCHAxtWX0kbhxrrgb65KqvtkTFP9D1f-fYQpTPvJIePVSRDahuz_PUp_D9qPRVQI-6Vx-nBJj4zxfxrFgEcicYSfImXbw6ZgfRqxTPfdGwQcR5TPYBl7q_xsqU0&xkcb=SoAj67M3-k65iQWXdx0JbzkdCdPP&fccid=8265e96bbabf1885&cmp=Camstudio&ti=Research+Analyst&vjs=3
Business Analyst,Accenture,https://in.indeed.com/rc/clk?jk=63708f7c6c813e35&bb=gU9DaOCHAxtWX0kbhxrrgcmhTJg3OC2c9LDIowADJqLzQCMXLl1vIytX85EwrtpWgsoTTXLheX-ZVq-HB44wwK0bGxFEIEEYPo7UcS2-W1UUmpNMamOf8A%3D%3D&xkcb=SoCX67M3-k65iQWXdx0IbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst,Amnet Digital,https://in.indeed.com/rc/clk?jk=52b8eda964b4ba79&bb=gU9DaOCHAxtWX0kbhxrrgcmhTJg3OC2cz3w8HIPleBDXteSfRALIco3GOHziWRTNV8FqRIz815iEUnorC0S9ScyVBDkhpRnaVMZ3e4y5DaBA65TcDbETKyamLQiBgu01&xkcb=SoAZ67M3-k65iQWXdx0PbzkdCdPP&fccid=faec04170b1a42c7&vjs=3
